Sample,S_aureus_count,tax_reads,Total_read_count,study,Timepoint,subject_id,sample_alias,S_aureus,present_actual,adj_count_min,present_min,adj_count_1stQ,present_1stQ,adj_count_median,present_median,adj_count_3rdQ,present_3rdQ,adj_count_max,present_max,adj_rel
X10.1.8.002.c.028.N1,482,39490,98790564,PRIMAL,DOL 9-42,10.1.8.002,PRIMAL_10.1.8.002.c.028,0.012205621676373766,TRUE,0.33476340918551695,0,31.21153445383711,1,166.81799858941994,1,281.95048425880026,1,2388.133332956779,1,4.879008485061387e-6
X11.2.7.008.c.028.N1,434,40080,107845985,PRIMAL,DOL 9-42,11.2.7.008,PRIMAL_11.2.7.008.c.028,0.010828343313373253,TRUE,0.27611637095252084,0,25.743600969475125,1,137.5932348524611,1,232.55571656191,1,1969.7574201765601,1,4.024257370360148e-6
SAMN04436907,411,1266,5009968,Gibson_2016_preterm,DOL 9-42,Gibson_2016_preterm.subject_286.02,Gibson_2016_preterm.sample_2-D2,0.3246445497630332,TRUE,5.628767089929517,1,524.7958801333662,1,2804.905299395126,1,4740.761873129729,1,40154.46713132699,1,8.203645212903556e-5
X14.1.8.003.c.028.N1,410,20643,56005843,PRIMAL,DOL 9-42,14.1.8.003,PRIMAL_14.1.8.003.c.028,0.019861454245991377,TRUE,0.5022927697026183,0,46.83106832263912,1,250.3005772094172,1,423.0500878274433,1,3583.253346441013,1,7.320664738498802e-6
X17.1.7.011.c.028.N1,406,27255,67200380,PRIMAL,DOL 9-42,17.1.7.011,PRIMAL_17.1.7.011.c.028,0.014896349293707577,TRUE,0.41453453090592646,0,38.64896353264669,1,206.56923335850186,1,349.1367590480887,1,2957.204114173164,1,6.041632502673348e-6
X16.1.7.007.c.028.N1,397,29288,70251482,PRIMAL,DOL 9-42,16.1.7.007,PRIMAL_16.1.7.007.c.028,0.013555039606664846,TRUE,0.387740731220446,0,36.15085418411529,1,193.217451426861,1,326.5700011851707,1,2766.062656087455,1,5.651126334957603e-6
X02.2.8.002.c.028.N1,343,27674,75920709,PRIMAL,DOL 9-42,02.2.8.002,PRIMAL_02.2.8.002.c.028,0.012394305123943052,TRUE,0.3099847104957884,0,28.901302252064056,1,154.47037393973756,1,261.08092114893185,1,2211.3671910650887,1,4.517871401859537e-6
X01.1.7.002.c.028.G1,336,11980,45197785,PRIMAL,DOL 9-42,01.1.7.002,PRIMAL_01.1.7.002.c.028,0.028046744574290485,TRUE,0.5100685354381858,0,47.55603877490899,1,254.17536651408912,1,429.59913367436036,1,3638.7240604821673,1,7.433992617116082e-6
X01.2.7.006.c.028.G1,324,18741,59320715,PRIMAL,DOL 9-42,01.2.7.006,PRIMAL_01.2.7.006.c.028,0.017288298383223946,TRUE,0.3747529341141623,0,34.939942042168575,1,186.74542294373896,1,315.6311841487413,1,2673.410381853961,1,5.46183571792754e-6
X17.2.7.002.c.028.G1,300,19133,42843076,PRIMAL,DOL 9-42,17.2.7.002,PRIMAL_17.2.7.002.c.028,0.015679715674489104,TRUE,0.48044869607401675,0,44.794444731279334,1,239.41532349357922,1,404.65217763542466,1,3427.4222163693385,1,7.002298341043486e-6
X16.1.7.004.c.028.N1,298,29645,70771046,PRIMAL,DOL 9-42,16.1.7.004,PRIMAL_16.1.7.004.c.028,0.010052285376960702,TRUE,0.2889129828602505,0,26.936688034821472,1,143.9699926718619,1,243.33351014763863,1,2061.045818511712,1,4.210761559183398e-6
X19.1.7.002.c.028.N1,284,22013,105282101,PRIMAL,DOL 9-42,19.1.7.002,PRIMAL_19.1.7.002.c.028,0.012901467314768546,TRUE,0.1850845662739956,0,17.256286555299653,1,92.23062039766855,1,155.8852660054723,1,1320.3552419608343,1,2.6975145566291463e-6
X01.1.7.014.c.028.G1,269,12503,44809008,PRIMAL,DOL 9-42,01.1.7.014,PRIMAL_01.1.7.014.c.028,0.02151483643925458,TRUE,0.4119014864154101,0,38.403472667817155,1,205.25714488033302,1,346.9191087649162,1,2938.4205161381838,1,6.0032572022125555e-6
X01.1.7.028.c.028.N1,261,15358,63951013,PRIMAL,DOL 9-42,01.1.7.028,PRIMAL_01.1.7.028.c.028,0.016994400312540694,TRUE,0.28002672920912136,0,26.108181679624057,1,139.54182935303933,1,235.84916911323984,1,1997.6531119999615,1,4.081248877167903e-6
X01.2.8.006.c.028.G1,260,14621,49652886,PRIMAL,DOL 9-42,01.2.8.006,PRIMAL_01.2.8.006.c.028,0.017782641406196568,TRUE,0.3592818350981653,0,33.49750022586804,1,179.03592512225774,1,302.60083572987077,1,2563.042742369497,1,5.2363522233128605e-6
X10.1.7.004.c.001.N1,256,17370,77435163,PRIMAL,DOL 1-8,10.1.7.004,PRIMAL_10.1.7.004.c.001,0.014738054116292459,TRUE,0.22683400304846002,0,21.148778830619882,1,113.0350371703873,1,191.04823063393047,1,1618.1871401239252,1,3.3059916203701927e-6
X20.1.8.004.c.001.N3,256,19752,79054059,PRIMAL,DOL 9-42,20.1.8.004,PRIMAL_20.1.8.004.c.001,0.012960712839206157,TRUE,0.22218881891946876,0,20.715686920010015,1,110.72026710228756,1,187.1358797655159,1,1585.0493516088782,1,3.238290395689866e-6
X07.2.8.010.c.028.G1,253,11183,38636600,PRIMAL,DOL 9-42,07.2.8.010,PRIMAL_07.2.8.010.c.028,0.022623625145309845,TRUE,0.449291319629574,0,41.88949902424127,1,223.88910098197047,1,378.41024934906284,1,3205.151898847207,1,6.54819523457033e-6
SAMN09980583,223,1827,9342719,Gasparrini_2019_infant,DOL 1-8,Gasparrini_2019_infant_N003,Gasparrini_2019_infant_N003_A,0.12205801860974275,TRUE,1.6377137105375854,1,152.69159203011458,1,816.0991194319341,1,1379.3448181412714,1,11683.112893045376,1,2.3868854452328064e-5
X05.1.8.006.c.028.G1,219,12193,39557443,PRIMAL,DOL 9-42,05.1.8.006,PRIMAL_05.1.8.006.c.028,0.017961125235791027,TRUE,0.37985890544037443,0,35.41599526541693,1,189.2898106937802,1,319.9316275321436,1,2709.835331495011,1,5.53625268448216e-6
X20.1.8.002.c.028.N1,214,22750,57224188,PRIMAL,DOL 9-42,20.1.8.002,PRIMAL_20.1.8.002.c.028,0.009406593406593406,TRUE,0.2565904823324011,0,23.923112443290588,1,127.86317006368007,1,216.11027001379207,1,1830.463745330908,1,3.739677354617946e-6
X05.1.8.004.c.028.N3,199,33936,44735938,PRIMAL,DOL 9-42,05.1.8.004,PRIMAL_05.1.8.004.c.028,0.005863979255068364,TRUE,0.3052129364092019,0,28.456407776673867,1,152.09252205687517,1,257.06195140023664,1,2177.3263358197605,1,4.448325192153118e-6
SAMN11394109,195,8950,21119557,Parnanen_2019_infant,DOL 9-42,Parnanen_2019_infant_10030-B,Parnanen_2019_infant_A026_10030-B,0.021787709497206705,TRUE,0.6335139984233571,0,59.06542784017676,1,315.6902289664504,1,533.5696009153979,1,4519.358612730371,1,9.233148214235743e-6
X01.1.8.004.c.028.G1,194,11070,41928323,PRIMAL,DOL 9-42,01.1.8.004,PRIMAL_01.1.8.004.c.028,0.01752484191508582,TRUE,0.3174685045237798,0,29.599050837306326,1,158.19966903994705,1,267.38405731133105,1,2264.75503897449,1,4.626943939541775e-6
X09.1.8.008.c.028.N1,194,28773,72784173,PRIMAL,DOL 9-42,09.1.8.008,PRIMAL_09.1.8.008.c.028,0.006742432141243527,TRUE,0.1828820944355581,0,17.050939961906277,1,91.1330932069531,1,154.0302603974081,1,1304.6432606989983,1,2.6654146362286757e-6
SAMN04436875,192,1745,14536706,Gibson_2016_preterm,DOL 1-8,Gibson_2016_preterm.subject_250.01,Gibson_2016_preterm.sample_6-D1,0.11002865329512894,TRUE,0.906236667371549,0,84.49261834145919,1,451.592327450249,1,763.267012485497,1,6464.90606056145,1,1.3207944083068062e-5
SAMN04436876,188,1740,11273605,Gibson_2016_preterm,DOL 1-8,Gibson_2016_preterm.subject_250.01,Gibson_2016_preterm.sample_5-D6,0.10804597701149425,TRUE,1.1441986835621791,1,106.67891308946872,1,570.1726328002445,1,963.687679318195,1,8162.478158494998,1,1.6676120903650607e-5
SAMN07501196,185,8338,36878627,Rahman_2018_preterm_NICU,DOL 43-455,Rahman_2018_preterm_NICU.subject_N4_159,Rahman_2018_preterm_NICU.sample_N4_159_053G1,0.022187574958023506,TRUE,0.34419407750727815,0,32.09079909618111,1,171.51745250711207,1,289.8933520491422,1,2455.4097817958354,1,5.016455737357034e-6
X09.2.8.004.c.028.G1,185,21069,55929693,PRIMAL,DOL 9-42,09.2.8.004,PRIMAL_09.2.8.004.c.028,0.008780673026721723,TRUE,0.2269528817188394,0,21.159862436577292,1,113.09427632653016,1,191.14835477462748,1,1619.0351961166673,1,3.307724217259694e-6
X05.1.7.004.c.028.G1,184,15227,46197145,PRIMAL,DOL 9-42,05.1.7.004,PRIMAL_05.1.7.004.c.028,0.012083798515794313,TRUE,0.2732807839099148,0,25.47922612966667,1,136.1802161583795,1,230.16747723262986,1,1949.5289252182145,1,3.982930113971329e-6
X03.2.7.001.c.028.N1,183,15966,68754725,PRIMAL,DOL 9-42,03.2.7.001,PRIMAL_03.2.7.001.c.028,0.011461856444945509,TRUE,0.18262277974350127,0,17.02676285884352,1,91.00387251930685,1,153.81185569428138,1,1302.7933630015973,1,2.6616352548861187e-6
X14.1.8.001.c.028.N1,180,28066,70921440,PRIMAL,DOL 9-42,14.1.8.001,PRIMAL_14.1.8.001.c.028,0.006413454001282691,TRUE,0.17414113419016872,0,16.235979980101927,1,86.77733193234654,1,146.6682909991675,1,1242.2870474711171,1,2.5380195325983227e-6
X09.1.7.001.c.028.G1,179,11372,39477767,PRIMAL,DOL 9-42,09.1.7.001,PRIMAL_09.1.7.001.c.028,0.015740415054519872,TRUE,0.3111049062121472,0,29.005743257971,1,155.02858550738193,1,262.02439261572215,1,2219.358436990623,1,4.534197691576629e-6
X01.2.7.022.c.028.N1,178,24079,63362237,PRIMAL,DOL 9-42,01.2.7.022,PRIMAL_01.2.7.022.c.028,0.007392333568669795,TRUE,0.1927506757692283,0,17.9710332512408,1,96.05076623162785,1,162.3419551932802,1,1375.0436909290308,1,2.8092442506409616e-6
X11.1.8.019.c.028.N1,173,28124,69514125,PRIMAL,DOL 9-42,11.1.8.019,PRIMAL_11.1.8.019.c.028,0.006151329825060447,TRUE,0.17075736765729266,0,15.920495841672464,1,85.09114656913252,1,143.8183540395567,1,1218.1479527362244,1,2.488702835574784e-6
X01.1.7.005.c.028.G1,169,12860,40430905,PRIMAL,DOL 9-42,01.1.7.005,PRIMAL_01.1.7.005.c.028,0.013141524105754277,TRUE,0.28680033256737636,0,26.73971591781089,1,142.91722500399138,1,241.55415566384178,1,2045.974605688396,1,4.179970742678156e-6
SAMN09980738,154,353,1338131,Gasparrini_2019_infant,DOL 1-8,Gasparrini_2019_infant_N023,Gasparrini_2019_infant_N023_A,0.43626062322946174,TRUE,7.8963883207249514,1,736.2166514339776,1,3934.897481636701,1,6650.638779013415,1,56331.2107633707,1,1.1508589218843297e-4
X10.1.8.015.c.028.N1,153,23351,67921826,PRIMAL,DOL 9-42,10.1.8.015,PRIMAL_10.1.8.015.c.028,0.00655218191940388,TRUE,0.15455693137578486,0,14.41005455300922,1,77.0182082413391,1,130.17373001721126,1,1102.5773711531253,1,2.252589616775026e-6
X01.2.8.021.c.028.N1,149,65052,161370214,PRIMAL,DOL 9-42,01.2.8.021,PRIMAL_01.2.8.021.c.028,0.002290475312058046,TRUE,0.06335330880827858,0,5.9067207657046294,1,31.56997416512071,1,53.35856789531183,1,451.9494794435855,1,9.233426436430207e-7
X06.1.7.002.c.028.G1,148,9085,33623428,PRIMAL,DOL 9-42,06.1.7.002,PRIMAL_06.1.7.002.c.028,0.016290588882773804,TRUE,0.30201334617041425,0,28.158095242400627,1,150.49811470739985,1,254.3671347252279,1,2154.5011168998,1,4.401692772075471e-6
X01.2.8.013.c.028.G1,145,17171,50231045,PRIMAL,DOL 9-42,01.2.8.013,PRIMAL_01.2.8.013.c.028,0.008444470327878399,TRUE,0.19806247311796918,0,18.46627658253974,1,98.69772040378615,1,166.8157530865623,1,1412.9369610964693,1,2.8866610280554585e-6
X10.2.8.005.c.028.N1,144,25726,79104920,PRIMAL,DOL 9-42,10.2.8.005,PRIMAL_10.2.8.005.c.028,0.005597450050532535,TRUE,0.12490085319598325,0,11.645081797693493,1,62.240106835327055,1,105.19625226850617,1,891.0170067803621,1,1.8203671781729884e-6
X16.1.7.005.c.028.N1,141,31512,77618576,PRIMAL,DOL 9-42,16.1.7.005,PRIMAL_16.1.7.005.c.028,0.004474485910129475,TRUE,0.12464069168184688,0,11.620825741508064,1,62.11046416259943,1,104.97713433959417,1,889.1610680283545,1,1.8165754548241133e-6
X13.2.7.001.c.028.N1,138,18106,69303500,PRIMAL,DOL 9-42,13.2.7.001,PRIMAL_13.2.7.001.c.028,0.00762178283441953,TRUE,0.13662504779700882,0,12.738182458317402,1,68.0824618381467,1,115.0708151824944,1,974.6550005410983,1,1.991241423593325e-6
X01.2.8.006.c.001.G1,136,13895,43380923,PRIMAL,DOL 1-8,01.2.8.006,PRIMAL_01.2.8.006.c.001,0.009787693414897445,TRUE,0.21510303042653103,0,20.055046223889704,1,107.18930457058279,1,181.16795901276697,1,1534.5007933556417,1,3.1350185887008445e-6
SAMN04436908,129,1060,7927907,Gibson_2016_preterm,DOL 9-42,Gibson_2016_preterm.subject_286.02,Gibson_2016_preterm.sample_2-B7,0.12169811320754717,TRUE,1.1164456142081385,1,104.09136661164165,1,556.3428313424969,1,940.3129880307628,1,7964.4934678219615,1,1.627163386250621e-5
SAMN07501307,129,62616,263387694,Rahman_2018_preterm_NICU,DOL 1-8,Rahman_2018_preterm_NICU.subject_N4_128,Rahman_2018_preterm_NICU.sample_N4_128_000G1,0.0020601763127635108,TRUE,0.03360474768422552,0,3.133125399548849,1,16.745787018432228,1,28.30319749107185,1,239.72936076125103,1,4.897723125971102e-7
SAMN09980700,126,1710,5268565,Gasparrini_2019_infant,DOL 1-8,Gasparrini_2019_infant_N018,Gasparrini_2019_infant_N018_A,0.07368421052631578,TRUE,1.6409094316953476,1,152.98954383214405,1,817.6915987560179,1,1382.0363761289839,1,11705.910510736794,1,2.391543048249381e-5
X02.2.7.003.c.028.N1,125,19053,58542390,PRIMAL,DOL 9-42,02.2.7.003,PRIMAL_02.2.7.003.c.028,0.006560646617330604,TRUE,0.1465028161644921,0,13.65913229712692,1,73.00471290973942,1,123.39024764790096,1,1045.120969181477,1,2.1352049344073587e-6
SAMN01795786,123,5907,28007620,Morrow_2016_preterm_infants,DOL 1-8,11681,11681.ST.14.1,0.020822752666328086,TRUE,0.301325103668216,0,28.093927224091157,1,150.15515238352992,1,253.787470695475,1,2149.591336393453,1,4.39166198341737e-6
SAMN07501194,123,5772,18893840,Rahman_2018_preterm_NICU,DOL 9-42,Rahman_2018_preterm_NICU.subject_N4_159,Rahman_2018_preterm_NICU.sample_N4_159_031G1,0.02130977130977131,TRUE,0.4466746304615684,0,41.6455330414569,1,222.5851626244321,1,376.20637414098985,1,3186.4849763203247,1,6.510058304717305e-6
X01.1.7.016.c.028.G1,120,11763,43653044,PRIMAL,DOL 9-42,01.1.7.016,PRIMAL_01.1.7.016.c.028,0.0102014792144861,TRUE,0.18861365086017828,0,17.585319365128353,1,93.9892200873781,1,158.85759536036022,1,1345.5310058102707,1,2.7489491912637295e-6
SAMN04436902,119,1026,3356174,Gibson_2016_preterm,DOL 1-8,Gibson_2016_preterm.subject_286.02,Gibson_2016_preterm.sample_2-H1,0.11598440545808966,TRUE,2.432813972100374,1,226.82245139852702,1,1212.3103858739148,1,2049.008519820486,1,17355.194684482987,1,3.545704126186545e-5
SAMN07501304,119,94079,397493806,Rahman_2018_preterm_NICU,DOL 1-8,Rahman_2018_preterm_NICU.subject_N4_124,Rahman_2018_preterm_NICU.sample_N4_124_000G1,0.0012648943972618757,TRUE,0.020541067248730914,0,1.915138305324939,1,10.235944650166449,1,17.300468626673393,1,146.5357504589644,1,2.993757341718175e-7
X01.1.8.022.c.028.G1,119,18262,55334162,PRIMAL,DOL 9-42,01.1.8.022,PRIMAL_01.1.8.022.c.028,0.006516263278939875,TRUE,0.14755707333202225,0,13.757425548434256,1,73.53006623647792,1,124.27818315925703,1,1052.6418230567945,1,2.1505702029064793e-6
X17.1.7.003.c.028.G1,117,6685,36217073,PRIMAL,DOL 9-42,17.1.7.003,PRIMAL_17.1.7.003.c.028,0.0175018698578908,TRUE,0.22165570917340557,0,20.665982643047933,1,110.4546099294109,1,186.6868744473083,1,1581.2462562891262,1,3.2305205890050804e-6
X14.1.8.002.c.028.N1,116,32059,80093067,PRIMAL,DOL 9-42,14.1.8.002,PRIMAL_14.1.8.002.c.028,0.0036183287064474874,TRUE,0.09937324537715606,0,9.265025348573554,1,49.51928870447676,1,83.69592938674705,1,708.9083011392235,1,1.448315120708263e-6
X01.2.8.014.c.028.N1,112,24078,81585411,PRIMAL,DOL 9-42,01.2.8.014,PRIMAL_01.2.8.014.c.028,0.004651549131987707,TRUE,0.09419154608413996,0,8.781911658200753,1,46.93716448888147,1,79.33170502750792,1,671.9431237528484,1,1.372794457087432e-6
X10.1.8.003.c.028.N1,107,40295,107781919,PRIMAL,DOL 9-42,10.1.8.003,PRIMAL_10.1.8.003.c.028,0.0026554163047524506,TRUE,0.06811523739895557,0,6.350697300165903,1,33.94291987879711,1,57.36924539263399,1,485.92009894535283,1,9.927453601934848e-7
X01.1.8.028.c.028.N1,101,27617,73249733,PRIMAL,DOL 9-42,01.1.8.028,PRIMAL_01.1.8.028.c.028,0.0036571676865698663,TRUE,0.09460666566525232,0,8.820615168658703,1,47.14402526218082,1,79.68133453810678,1,674.9045014949065,1,1.3788446164029021e-6
SAMN01780257,99,3942,36715008,Morrow_2016_preterm_infants,DOL 1-8,12521,12521.ST.08.1,0.02511415525114155,TRUE,0.18501118125862862,0,17.249444532328578,1,92.19405146255177,1,155.82345835250806,1,1319.831728349344,1,2.696445006902899e-6
SAMN07501292,99,73171,188080881,Rahman_2018_preterm_NICU,DOL 1-8,Rahman_2018_preterm_NICU.subject_N4_095,Rahman_2018_preterm_NICU.sample_N4_095_000G1,0.0013529950390181902,TRUE,0.036115776169721364,0,3.367240150262801,1,17.997072956075744,1,30.418081250906095,1,257.6425217032028,1,5.263692910923785e-7
